"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"222","Galium silvaticum","Galium","","silvaticum",NA,NA,"","","kew-87620",TRUE,"1.1","Accepted","Rubiaceae","Galium","","sylvaticum","","","L.","kew-87620","Accepted",TRUE,FALSE,FALSE,2023-06-14
"223","Chrysopsis villosus","Chrysopsis","","villosus",NA,NA,"","","gcc-117217",TRUE,"1.1","Synonym","Compositae","Heterotheca","","villosa","","","(Pursh) Shinners","gcc-91042","Accepted",TRUE,FALSE,FALSE,2023-06-14
"224","Zygadenus gramineus","Zygadenus","","gramineus",NA,NA,"","","kew-293139",TRUE,"1.1","Synonym","Melanthiaceae","Toxicoscordion","","venenosum","var.","gramineum","(Rydb.) Brasher","kew-459664","Accepted",TRUE,FALSE,FALSE,2023-06-14
"225","Helianthus annua","Helianthus","","annua",NA,NA,"","","gcc-44475",TRUE,"1.1","Accepted","Compositae","Helianthus","","annuus","","","L.","gcc-44475","Accepted",TRUE,FALSE,FALSE,2023-06-14
"226","Helianthus maximilliani","Helianthus","","maximilliani",NA,NA,"","","gcc-31619",TRUE,"1.1","Accepted","Compositae","Helianthus","","maximiliani","","","Schrad.","gcc-31619","Accepted",TRUE,FALSE,FALSE,2023-06-14
"227","Hemizonia clevelandi","Hemizonia","","clevelandi",NA,NA,"","","gcc-9211",TRUE,"1.1","Synonym","Compositae","Hemizonia","","congesta","subsp.","clevelandii","(Greene) Babc. & H.M.Hall","gcc-55659","Accepted",FALSE,FALSE,FALSE,2023-06-14
"228","Heracleum thomsoni var. glabrior","Heracleum","","thomsoni",NA,"var.","glabrior","","kew-2846203",FALSE,"1.1","Unresolved","Apiaceae","Heracleum","","thomsonii","","","C.B.Clarke","kew-2846203","Unresolved",TRUE,FALSE,TRUE,2023-06-14
"229","Lithophragma heterophylla","Lithophragma","","heterophylla",NA,NA,"","","tro-29100416",TRUE,"1.1","Accepted","Saxifragaceae","Lithophragma","","heterophyllum","","","(Hook. & Arn.) Hook. & Arn.","tro-29100416","Accepted",TRUE,FALSE,FALSE,2023-06-14
"230","Lithophragma parviflora","Lithophragma","","parviflora",NA,NA,"","","tro-29100418",TRUE,"1.1","Accepted","Saxifragaceae","Lithophragma","","parviflorum","","","(Hook.) Nutt.","tro-29100418","Accepted",TRUE,FALSE,FALSE,2023-06-14
"231","Saxifraga hieracifolia","Saxifraga","","hieracifolia",NA,NA,"","","kew-2871828",TRUE,"1.1","Accepted","Saxifragaceae","Saxifraga","","hieraciifolia","","","Waldst. & Kit. ex Willd.","kew-2871828","Accepted",TRUE,FALSE,FALSE,2023-06-14
"232","Agoseris apargiodes","Agoseris","","apargiodes",NA,NA,"","","gcc-97397",TRUE,"1.1","Unresolved","Compositae","Agoseris","","apargiodes","","","(Less.) Kuntze","gcc-97397","Unresolved",FALSE,FALSE,FALSE,2023-06-14
"233","Hieracium rufescens","Hieracium","","rufescens",NA,NA,"","","gcc-97630",TRUE,"1.1","Synonym","Compositae","Hieracium","","norvegicum","","","Fr.","gcc-30138","Accepted",FALSE,FALSE,FALSE,2023-06-14
"234","Lepistemon owariense","Lepistemon","","owariense",NA,NA,"","","tro-8501730",TRUE,"1.1","Accepted","Convolvulaceae","Lepistemon","","owariense","","","(P. Beauv.) Hallier f.","tro-8501730","Accepted",FALSE,FALSE,FALSE,2023-06-14
"235","Arracacia hartwegi","Arracacia","","hartwegi",NA,NA,"","","tro-50095846",TRUE,"1.1","Synonym","Apiaceae","Tauschia","","hartwegii","","","(A. Gray) J.F. Macbr.","tro-1701035","Accepted",TRUE,FALSE,FALSE,2023-06-14
"236","Cogswellia orientale","Cogswellia","","orientale",NA,NA,"","","kew-2730395",TRUE,"1.1","Unresolved","Apiaceae","Cogswellia","","orientalis","","","M.E.Jones","kew-2730395","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"237","Brickellia betonicaefolia","Brickellia","","betonicaefolia",NA,NA,"","","gcc-150014",TRUE,"1.1","Accepted","Compositae","Brickellia","","betonicaefolia","","","A.Gray","gcc-150014","Accepted",FALSE,FALSE,FALSE,2023-06-14
"238","Panicum sanguinalis","Panicum","","sanguinalis",NA,NA,"","","kew-430194",TRUE,"1.1","Synonym","Poaceae","Digitaria","","sanguinalis","","","(L.) Scop.","kew-409361","Accepted",TRUE,FALSE,FALSE,2023-06-14
"239","Mandevilla mandoni","Mandevilla","","mandoni",NA,NA,"","","kew-119308",TRUE,"1.1","Synonym","Apocynaceae","Mandevilla","","laxa","","","(Ruiz & Pav.) Woodson","kew-119294","Accepted",TRUE,FALSE,FALSE,2023-06-14
"240","Hedeoma dentatum","Hedeoma","","dentatum",NA,NA,"","","kew-96458",TRUE,"1.1","Accepted","Lamiaceae","Hedeoma","","dentata","","","Torr.","kew-96458","Accepted",TRUE,FALSE,FALSE,2023-06-14
"241","Monarda fistulosa var. menthaefolia","Monarda","","fistulosa",NA,"var.","menthaefolia","","kew-129185",FALSE,"1.1","Accepted","Lamiaceae","Monarda","","fistulosa","","","L.","kew-129185","Accepted",FALSE,FALSE,TRUE,2023-06-14
"242","Pentstemon campanulatus","Pentstemon","","campanulatus",NA,NA,"","","kew-2550756",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","campanulatus","","","(Cav.) Willd.","kew-2550756","Accepted",TRUE,FALSE,FALSE,2023-06-14
"243","Achillea millefolia","Achillea","","millefolia",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",TRUE,FALSE,FALSE,2023-06-14
"244","Rosae centifoliae","Rosae","","centifoliae",NA,NA,"","","rjp-6031",TRUE,"1.1","Accepted","Rosaceae","Rosa","","centifolia","","","L.","rjp-6031","Accepted",TRUE,FALSE,FALSE,2023-06-14
"245","Washingtonia claytoni","Washingtonia","","claytoni",NA,NA,"","","tro-50094873",TRUE,"1.1","Synonym","Apiaceae","Osmorhiza","","aristata","var.","aristata","","tro-50002428","Accepted",TRUE,FALSE,FALSE,2023-06-14
"246","Philibertia hirtellum","Philibertia","","hirtellum",NA,NA,"","","tro-2606195",TRUE,"1.1","Synonym","Apocynaceae","Sarcostemma","","hirtellum","","","(A. Gray) R.W. Holm","tro-2601099","Accepted",TRUE,FALSE,FALSE,2023-06-14
"247","Rumex brittanica","Rumex","","brittanica",NA,NA,"","","kew-2424316",TRUE,"1.1","Unresolved","Polygonaceae","Rumex","","britanica","","","Huds.","kew-2424316","Unresolved",TRUE,FALSE,FALSE,2023-06-14
