,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
2207,106358,106358,Hemizonia clevelandi,3966922,PH,,05ca699e-59b2-45ab-a669-3a75ec89bfdf,PreservedSpecimen,Puccinia hemizoniae,Puccinia,398623,Species,"Ellis & Everhart. North American Fungi. Second Series. Issued 1894; North American Fungi. Series II. [Ellis & Everhart, N. Amer. Fungi. Ser. II], 1501-3600, plus extras, J.B. Ellis ; B.M. Everhart, exs #: 3142",On Hemizonia clevelandi,NA,host: Hemizonia clevelandi,NA,urn:uuid:05ca699e-59b2-45ab-a669-3a75ec89bfdf,USA,Mycoportal.db,227,Hemizonia congesta subsp. clevelandii (Greene) Babc. & H.M.Hall,gcc-55659,The.plant.list,NA
2208,58951,58951,Hemizonia clevelandi,4628820,UC,,b34e38c7-a9fe-4f0e-8ea4-fd72f51e9b5c,PreservedSpecimen,Puccinia hemizoniae,Puccinia,398623,Species,"N. A. F. 3142; Fungi Columbiani, 1501-5100, plus extras, J.B. Ellis, B.M. Everhart, and E. Bartholomew, exs #: 549",On Hemizonia clevelandii,NA,host: Hemizonia clevelandii,NA,urn:uuid:b34e38c7-a9fe-4f0e-8ea4-fd72f51e9b5c,USA,Mycoportal.db,227,Hemizonia congesta subsp. clevelandii (Greene) Babc. & H.M.Hall,gcc-55659,The.plant.list,NA
2209,58825,58825,Hemizonia clevelandi,4628944,UC,,f988d249-1841-483a-a600-557785a9a9c5,PreservedSpecimen,Puccinia hemizoniae,Puccinia,398623,Species,"North American Uredinales, 1-3500, E. Bartholomew, exs #: 147",On leaves of Hemizonia clevelandii,NA,host: Hemizonia clevelandii,NA,urn:uuid:f988d249-1841-483a-a600-557785a9a9c5,USA,Mycoportal.db,227,Hemizonia congesta subsp. clevelandii (Greene) Babc. & H.M.Hall,gcc-55659,The.plant.list,NA
2210,42426,42426,Hemizonia clevelandi,4796029,MU,,ddfadecc-dfad-4e2b-9055-53cde22c70ee,PreservedSpecimen,Puccinia hemizoniae,Puccinia,398623,Species,,On Hemizonia clevelandi,NA,NA,NA,urn:uuid:ddfadecc-dfad-4e2b-9055-53cde22c70ee,USA,Mycoportal.db,227,Hemizonia congesta subsp. clevelandii (Greene) Babc. & H.M.Hall,gcc-55659,The.plant.list,NA
2280,163732,163732,Hemizonia clevelandi,3598185,MU,,a6ac29d8-e17d-4a6f-9eb6-c259083db2dc,PreservedSpecimen,Puccinia nuda,Puccinia,399451,Species,"North American Fungi. Series II. [Ellis & Everhart, N. Amer. Fungi. Ser. II], 1501-3600, plus extras, J.B. Ellis ; B.M. Everhart, exs #: 3142",On Hemizonia clevelandi.,NA,NA,NA,urn:uuid:a6ac29d8-e17d-4a6f-9eb6-c259083db2dc,United States,Mycoportal.db,227,Hemizonia congesta subsp. clevelandii (Greene) Babc. & H.M.Hall,gcc-55659,The.plant.list,NA
2216,177787,177787,Heracleum thomsoni var. glabrior,3525640,UC,,c2cddd49-0d0e-4b2f-8a63-c9e52f9804a6,PreservedSpecimen,Puccinia heracleicola,Puccinia,398631,Species,Gordon College Herbarium Plants of Western Kashmir No. 18495,Sunny slope,NA,host: Heracleum thomsoni var. glabrior,NA,urn:uuid:c2cddd49-0d0e-4b2f-8a63-c9e52f9804a6,Pakistan,Mycoportal.db,228,Heracleum thomsonii C.B.Clarke,kew-2846203,The.plant.list,NA
1678,20468,20468,Hibiscus syriaca,5086686,UC,,4eb7a40b-9659-4d57-a100-396199a3ecbe,PreservedSpecimen,Peroneutypa heteracantha,Peroneutypa,357838,Species,,NA,NA,host: Hibiscus syriaca,NA,urn:uuid:4eb7a40b-9659-4d57-a100-396199a3ecbe,USA,Mycoportal.db,171,Hibiscus syriacus L.,kew-2850597,The.plant.list,NA
2231,86896,86896,Hieracium rufescens,4303470,UC,,15963a5c-93e3-4af1-96d7-4273e3bc97b2,PreservedSpecimen,Puccinia hieracii,Puccinia,188306,Species,,Hieracium rufescens,NA,host: Hieracium rufescens,NA,urn:uuid:15963a5c-93e3-4af1-96d7-4273e3bc97b2,Finland,Mycoportal.db,233,Hieracium norvegicum Fr.,gcc-30138,The.plant.list,NA
730,156849,156849,Ilex verticellata,3636324,MICH,Fungi,e69fee2c-ef02-4a44-a11e-231f5f916284,PreservedSpecimen,Diaporthe binoculata var. ilicis,,NA,,,Ilex verticellata,NA,host: Ilex verticellata,NA,urn:uuid:e69fee2c-ef02-4a44-a11e-231f5f916284,USA,Mycoportal.db,95,Ilex verticillata (L.) A. Gray,tro-2000243,The.plant.list,NA
755,156663,156663,Ilex verticellata,3636685,MICH,Fungi,c63e39f5-62c8-4f47-82c0-270b0c5c32e2,PreservedSpecimen,Diaporthe oxyspora,Diaporthe,168745,Species,,On Ilex verticellata.,NA,host: Ilex verticellata,NA,urn:uuid:c63e39f5-62c8-4f47-82c0-270b0c5c32e2,Canada,Mycoportal.db,95,Ilex verticillata (L.) A. Gray,tro-2000243,The.plant.list,NA
756,156665,156665,Ilex verticellata,3636682,MICH,Fungi,9591c72b-cd62-4d46-bac5-3cbae91896ef,PreservedSpecimen,Diaporthe oxyspora,Diaporthe,168745,Species,,On Ilex verticellata.,NA,host: Ilex verticellata,NA,urn:uuid:9591c72b-cd62-4d46-bac5-3cbae91896ef,Canada,Mycoportal.db,95,Ilex verticillata (L.) A. Gray,tro-2000243,The.plant.list,NA
1469,146473,146473,Ilex verticellata,3688874,MICH,Fungi,a997dc73-1fa8-4cd7-baaa-850f8069739f,PreservedSpecimen,Micropera caespitosa,Micropera,185749,Species,,On branches of Ilex verticellata.,NA,host: Ilex verticellata,NA,urn:uuid:a997dc73-1fa8-4cd7-baaa-850f8069739f,USA,Mycoportal.db,95,Ilex verticillata (L.) A. Gray,tro-2000243,The.plant.list,NA
2060,92923,92923,Impatiens textori,4240009,UC,,3164fbfe-5903-4833-89ff-7b647af19056,PreservedSpecimen,Puccinia argentata,Puccinia,188243,Species,,Impatiens textori,NA,host: Impatiens textori,NA,urn:uuid:3164fbfe-5903-4833-89ff-7b647af19056,China,Mycoportal.db,207,Impatiens textori Miq.,kew-2863276,The.plant.list,NA
3086,190423,190423,Ingae inicuil,338864,MICH,Fungi,37790242-3d61-4e29-a803-aa2286461e54,PreservedSpecimen,Uredo excipulata,Uredo,551961,Species,"""Sheet 342857"" Ann. Mycol. 1904 2: 350.",On leaves of Ingae inicuil,NA,NA,NA,urn:uuid:37790242-3d61-4e29-a803-aa2286461e54,Mexico,Mycoportal.db,312,Inga inicuil Schltdl. & Cham. ex G. Don,tro-13008772,The.plant.list,NA
896,189928,189928,Ingae marginatae,339362,MICH,Fungi,c3efbd6b-e32a-4500-aac1-a3c00f7b9b2d,PreservedSpecimen,Eriomycopsis tenuis,Eriomycopsis,216367,Species,"Fungi Exotici Exsiccati Sydow, H. 704 Ann. Mycol. 1927 25: 137.",On mycelium of Parodiopsidis stevensii on leaves of Ingae marginatae,NA,NA,NA,urn:uuid:c3efbd6b-e32a-4500-aac1-a3c00f7b9b2d,Costa Rica,Mycoportal.db,109,Calliandra tergemina var. emarginata (Willd.) Barneby,ild-42281,The.plant.list,NA
425,124002,124002,Ipex opaca,3780323,PH,,bf0fec3d-acc0-4b75-b90e-9325f394e76e,PreservedSpecimen,Cercospora pulvinula,Cercospora,133189,Species,"Ellis. North American Fungi.; Issued 1881; North American Fungi. Series I. [Ellis, N. Amer. Fungi], 1 - 1500, plus extras, J.B. Ellis, exs #: 644",On leaves of host,NA,host: Ipex opaca,NA,urn:uuid:bf0fec3d-acc0-4b75-b90e-9325f394e76e,USA,Mycoportal.db,58,Ilex opaca Aiton,kew-2861190,The.plant.list,NA
1087,197446.2,197446,Juniperus excelsa stricta,3155370,MICH,Fungi,1e58b7bd-d0b2-4aad-98f1-6a4ef071fce6,PreservedSpecimen,Gymnosporangium exiguum,Gymnosporangium,233430,Species,"Telial stage on Juniperus excelsa var. stricta forming extensive witches' brooms 2-8 inches in diameter.; California Fungi. Berkeley, CA [Anonymous, Calif. Fungi], 1- ? 1425, Herbarium of the University of California., exs #: 1154",On Juniperus excelsa var. stricta.,NA,host: Juniperus excelsa stricta,NA,urn:uuid:1e58b7bd-d0b2-4aad-98f1-6a4ef071fce6,USA,Mycoportal.db,134,Juniperus excelsa M.Bieb.,kew-2332546,The.plant.list,NA
1088,197446.1,197446,Juniperus excelsa var. stricta,3155370,MICH,Fungi,1e58b7bd-d0b2-4aad-98f1-6a4ef071fce6,PreservedSpecimen,Gymnosporangium exiguum,Gymnosporangium,233430,Species,"Telial stage on Juniperus excelsa var. stricta forming extensive witches' brooms 2-8 inches in diameter.; California Fungi. Berkeley, CA [Anonymous, Calif. Fungi], 1- ? 1425, Herbarium of the University of California., exs #: 1154",On Juniperus excelsa var. stricta.,NA,host: Juniperus excelsa stricta,NA,urn:uuid:1e58b7bd-d0b2-4aad-98f1-6a4ef071fce6,USA,Mycoportal.db,135,Juniperus excelsa M.Bieb.,kew-2332546,The.plant.list,NA
1094,66816,66816,Juniperus pachyphloea,450438,MICH,Fungi,98e824cc-f730-44bd-9361-de85d6af9ced,PreservedSpecimen,Gymnosporangium gracilens,Gymnosporangium,233444,Species,"County designation is for Bullard's Peak; J. C. Arthur, presumably, put a question mark after Wooton as ""legit""",On Juniperus pachyphloea,NA,NA,NA,urn:uuid:98e824cc-f730-44bd-9361-de85d6af9ced,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1100,123348,123348,Juniperus pachyphloea,3781131,UC,,fdca2e65-7f9d-4270-9de7-35a0f0154e70,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,Juniperus pachyphloea,NA,host: Juniperus pachyphloea,NA,urn:uuid:fdca2e65-7f9d-4270-9de7-35a0f0154e70,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1101,123378,123378,Juniperus pachyphloea,3781079,UC,,c6719648-f80c-4db3-92c4-1857fc99fb62,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,Juniperus pachyphloea,NA,host: Juniperus pachyphloea,NA,urn:uuid:c6719648-f80c-4db3-92c4-1857fc99fb62,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1102,173034,173034,Juniperus pachyphloea,3553943,RMS,,94af1767-2b29-472b-813c-2cca2c979c6e,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,On Juniperus pachyphloea,NA,host: Juniperus pachyphloea,NA,urn:uuid:94af1767-2b29-472b-813c-2cca2c979c6e,United States,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1103,66823,66823,Juniperus pachyphloea,450431,MICH,Fungi,ebb8ec9c-9eee-4d65-bf68-1d941d012387,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,GNIS for Williams as a populated place = Coconino Co.,On Juniperus pachyphloea,NA,NA,NA,urn:uuid:ebb8ec9c-9eee-4d65-bf68-1d941d012387,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1104,66824,66824,Juniperus pachyphloea,450430,MICH,Fungi,b0653fa4-bcad-4845-bf58-35715d95068c,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,GNIS for Williams as a populated place = Coconino Co.,On Juniperus pachyphloea,NA,NA,NA,urn:uuid:b0653fa4-bcad-4845-bf58-35715d95068c,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1105,131037,131037,Juniperus pachyphloea,3767394,MU,,9e51df7b-f1ce-4e33-94b2-443f70cf9f97,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,on Juniperus pachyphloea,NA,NA,NA,urn:uuid:9e51df7b-f1ce-4e33-94b2-443f70cf9f97,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1106,66830,66830,Juniperus pachyphloea,450424,MICH,Fungi,b25dfce4-3444-4b0e-90f8-deea7ab3f852,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,"North American Uredinales Bartholomew, E. 1718 GNIS lists 3 entries for Tejano, all with different counties. Collection was not cited in Mycologia 3: 157.",On Juniperus pachyphloea Torr.,NA,NA,NA,urn:uuid:b25dfce4-3444-4b0e-90f8-deea7ab3f852,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1107,131039,131039,Juniperus pachyphloea,3767387,MU,,b964657b-825c-4960-bcdd-de62fa051a31,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,"North American Uredinales, 1-3500, E. Bartholomew, exs #: 1718","On Juniperus pachyphloea, Torr.",NA,NA,NA,urn:uuid:b964657b-825c-4960-bcdd-de62fa051a31,United States,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1108,213170,213170,Juniperus pachyphloea,2698416,ARIZ,,e296e50f-dfc7-4461-a2df-e5eaaec81faf,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:e296e50f-dfc7-4461-a2df-e5eaaec81faf,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1109,213171,213171,Juniperus pachyphloea,2698415,ARIZ,,39be7935-7698-4e33-a129-f0f79b7ed9b6,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:39be7935-7698-4e33-a129-f0f79b7ed9b6,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1110,213172,213172,Juniperus pachyphloea,2698414,ARIZ,,af97f089-5337-49d2-9806-75307cb12b89,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:af97f089-5337-49d2-9806-75307cb12b89,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1111,213173,213173,Juniperus pachyphloea,2698413,ARIZ,,6c4d0b18-c898-4a1f-9fe3-236774ec5064,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:6c4d0b18-c898-4a1f-9fe3-236774ec5064,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1112,213174,213174,Juniperus pachyphloea,2698412,ARIZ,,1af030ee-9d61-4730-b68c-7530b4dbaa9c,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:1af030ee-9d61-4730-b68c-7530b4dbaa9c,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1113,213175,213175,Juniperus pachyphloea,2698411,ARIZ,,74128f92-e3fc-40f8-87a6-c81aa0157b79,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:74128f92-e3fc-40f8-87a6-c81aa0157b79,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1114,213176,213176,Juniperus pachyphloea,2698410,ARIZ,,a4321943-64a7-460e-99c8-c95a39263047,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:a4321943-64a7-460e-99c8-c95a39263047,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1115,213177,213177,Juniperus pachyphloea,2698409,ARIZ,,fc2604f5-a592-47f8-872c-ae6e6cdeb3fb,PreservedSpecimen,Gymnosporangium kernianum,Gymnosporangium,233459,Species,,NA,NA,on Juniperus pachyphloea,NA,urn:uuid:fc2604f5-a592-47f8-872c-ae6e6cdeb3fb,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
1130,133690,133690,Juniperus pachyphloea,3751730,UC,,f93e86b6-4a90-47e1-8404-9b3eb5dc1c00,PreservedSpecimen,Gymnosporangium nelsonii,Gymnosporangium,183906,Species,"Plants of the Gulf States [Tracy, Pl. Gulf States], 1-9000+, S.M. Tracy, exs #: 333",Juniperus pachyphloea,NA,host: Juniperus pachyphloea,NA,urn:uuid:f93e86b6-4a90-47e1-8404-9b3eb5dc1c00,USA,Mycoportal.db,136,Juniperus deppeana Steud.,kew-2332518,The.plant.list,NA
2668,2959,2959,Kitaibelia vitifolia,7220873,CINC,,db341f19-0c79-41d3-9e86-5a400770f18e,PreservedSpecimen,Septoria kitaibeliae,Septoria,420377,Species,,"on Kitaibelia vitifolia, in botanical garden",NA,NA,NA,urn:uuid:db341f19-0c79-41d3-9e86-5a400770f18e,Latvia,Mycoportal.db,278,Kitaibelia vitifolia Willd.,kew-2333686,The.plant.list,NA
178,155408,155408,Lathyrus silvester,3643943,MU,,f8239811-ebd0-4b85-8391-abe7df4d1410,PreservedSpecimen,Ascospora melaena,Ascospora,104709,Species,"Fungi Bavarici, Allescher & Schnabl, exs #: 931",On Lathyrus silvester.,NA,NA,NA,urn:uuid:f8239811-ebd0-4b85-8391-abe7df4d1410,,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1637,137803,137803,Lathyrus silvester,3730247,MICH,Fungi,dc2649bd-5959-4c85-b1ab-030e93140651,PreservedSpecimen,Ovularia deusta,Ovularia,348179,Species,"Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 2224",Auf Blättern und Stengeln von Lathyrus silvester.,NA,host: Lathyrus silvester,NA,urn:uuid:dc2649bd-5959-4c85-b1ab-030e93140651,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1638,99841,99841,Lathyrus silvester,4019902,PH,,77e964d7-5735-48f4-8c69-e16f54ce7942,PreservedSpecimen,Ovularia deusta,Ovularia,348179,Species,"Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 2224",Auf Blattern und Stengeln von Lathyrus silvester. [On leaves and stems of Lathyrus silvester],NA,host: Lathyrus silvester,NA,urn:uuid:77e964d7-5735-48f4-8c69-e16f54ce7942,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1704,153256,153256,Lathyrus silvester,3656964,RMS,,fc3b198b-5b75-482c-8980-d6072a6ddaed,PreservedSpecimen,Peronospora fulva,Peronospora,647150,Species,,On Lathyrus silvesteris,NA,host: Lathyrus silvesteris,NA,urn:uuid:fc3b198b-5b75-482c-8980-d6072a6ddaed,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1705,153257,153257,Lathyrus silvester,3656962,RMS,,b0c5773f-d9e6-4adb-84cc-66a00b1ac444,PreservedSpecimen,Peronospora fulva,Peronospora,647150,Species,,On Lathyrus silvesteris,NA,host: Lathyrus silvesteris,NA,urn:uuid:b0c5773f-d9e6-4adb-84cc-66a00b1ac444,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1719,114535,114535,Lathyrus silvester,3851913,PH,,14adcc92-fcdd-467d-98cb-b57616beb887,PreservedSpecimen,Peronospora trifoliorum,Peronospora,647534,Species,"Herbarium of the University of Pennsylvania; Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 2512",Auf Stengeln und Blattern von Lathyrus silvester.,NA,host: Lathyrus silvester,NA,urn:uuid:14adcc92-fcdd-467d-98cb-b57616beb887,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1725,154064,154064,Lathyrus silvester,3650713,MU,,d27495b2-40bc-40a9-908b-fd55a399e9b8,PreservedSpecimen,Peronospora viciae,Peronospora,214673,Species,"Fungi Bavarici, Allescher & Schnabl, exs #: 644",On Lathyrus silvester.,NA,NA,NA,urn:uuid:d27495b2-40bc-40a9-908b-fd55a399e9b8,,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
3214,101734,101734,Lathyrus silvester,3994657,PH,,416e0cf5-f6f4-4b3b-b342-25a639dafc23,PreservedSpecimen,Uromyces pisi,Uromyces,554337,Species,"Hedwigia XIV, 1875, p. 98- Cfr. Syd. Monogr. Ured. II, p. 124; Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 2618",Auf Blattern und Stengeln von Lathyrus silvester. [On leaves and stems of Lathyrus silvester],NA,host: Lathyrus silvester,NA,urn:uuid:416e0cf5-f6f4-4b3b-b342-25a639dafc23,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
3215,21791,21791,Lathyrus silvester,5075649,MU,,63920413-64cc-4559-aec2-630481887d8f,PreservedSpecimen,Uromyces pisi,Uromyces,554337,Species,,NA,NA,host: Lathyrus silvester,NA,urn:uuid:63920413-64cc-4559-aec2-630481887d8f,Germany,Mycoportal.db,33,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
866,188350,188350,Lathyrus silvestris,341250,MICH,Fungi,6586dfb5-218b-4f1e-ba74-3f2bf0cf843c,PreservedSpecimen,Entyloma feurichii,Entyloma,215282,Species,"Fungi Saxonici Exsiccati Krieger, K. W. 1751 German species description with collection Hedwigia 1905 44: 86.",On Lathyrus silvestris,NA,NA,NA,urn:uuid:6586dfb5-218b-4f1e-ba74-3f2bf0cf843c,Germany,Mycoportal.db,104,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1310,115442,115442,Lathyrus silvestris,3851005,PH,,093e7ae6-119f-48eb-96d2-e58a2a679b40,PreservedSpecimen,Leptosphaeria multiseptata,Leptosphaeria,185140,Species,"Herbarium of the University of Pennsylvania; Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 888",Auf Stengeln von Lathyrus silvestris,NA,host: Lathyrus silvestris,NA,urn:uuid:093e7ae6-119f-48eb-96d2-e58a2a679b40,Germany,Mycoportal.db,104,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
1884,189857,189857,Lathyrus silvestris,339433,MICH,Fungi,b5683c91-52a0-4bd4-974e-fc1a2207f885,PreservedSpecimen,Phyllosticta lathyricola,Phyllosticta,374507,Species,"Fungi Saxonici Exsiccati Krieger, K. W. 2180 Until this collection, only found in 1 locality; also collected Aug 1894, 1910, and Sep 1907 Ann. Mycol. 1912 10: 46.",On stems and leaves of Lathyrus silvestris,NA,NA,NA,urn:uuid:b5683c91-52a0-4bd4-974e-fc1a2207f885,Germany,Mycoportal.db,104,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
2725,100638,100638,Lathyrus silvestris,3996841,PH,,c4de4e44-ce51-4c61-baa5-1716c90f6b06,PreservedSpecimen,Septoria silvestris,Septoria,421260,Species,"Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 140",Auf Blattern von Lathyrus silvestris. [On leaves of Lathyrus silvestris],NA,host: Lathyrus silvestris,NA,urn:uuid:c4de4e44-ce51-4c61-baa5-1716c90f6b06,Germany,Mycoportal.db,104,Lathyrus sylvestris L.,ild-8886,The.plant.list,NA
927,73441,73441,Leonorus cardiaca,4390231,CINC,,41a71e07-7a2c-42b2-b645-7a79958fd2f8,PreservedSpecimen,Erysiphe lamprocarpa,Erysiphe,216937,Species,From the herbarium of Curtis Gates Lloyd,Parasitic on leaves of Leonorus cardiaca,NA,NA,NA,urn:uuid:41a71e07-7a2c-42b2-b645-7a79958fd2f8,Hungary,Mycoportal.db,118,Leonurus cardiaca L.,kew-109505,The.plant.list,NA
85,197843,197843,Lepidium bonariensis,3153941,RMS,,ecddac4b-43eb-4f48-bda3-a2bdca1b789b,PreservedSpecimen,Albugo candida,Albugo,617106,Species,,NA,NA,host: Lepidium bonariensis,NA,urn:uuid:ecddac4b-43eb-4f48-bda3-a2bdca1b789b,Argentina,Mycoportal.db,14,Lepidium bonariense L.,kew-2338282,The.plant.list,NA
2235,124236,124236,Lepistemon owariense,3779918,RMS,,cfcbded3-369a-4b5f-97ed-3371489dc329,PreservedSpecimen,Puccinia holosericea,Puccinia,398679,Species,,On Lepistemon owariense,NA,host: Lepistemon owariense,NA,urn:uuid:cfcbded3-369a-4b5f-97ed-3371489dc329,Sierra Leone,Mycoportal.db,234,Lepistemon owariense (P. Beauv.) Hallier f.,tro-8501730,The.plant.list,NA
1297,23213.1,23213,Leptilon canadensis,5065651,UC,,83863ce4-229f-42f9-88d3-633ba24bdcdb,PreservedSpecimen,Leptosphaeria agnita,Leptosphaeria,271919,Species,"Fungi Columbiani, 1501-5100, plus extras, J.B. Ellis, B.M. Everhart, and E. Bartholomew, exs #: 2037",Leptilon canadense,NA,host: Leptilon canadensis,NA,urn:uuid:83863ce4-229f-42f9-88d3-633ba24bdcdb,Canada,Mycoportal.db,146,Erigeron canadensis L.,gcc-115400,The.plant.list,NA
1313,170894,170894,Leptilon canadensis,3565662,RMS,,29464f3b-022a-41e7-869b-ca7618ef5a12,PreservedSpecimen,Leptosphaeria planiuscula,Leptosphaeria,272838,Species,,NA,NA,Leptilon canadensis; host: Leptilon canadensis,NA,urn:uuid:29464f3b-022a-41e7-869b-ca7618ef5a12,,Mycoportal.db,146,Erigeron canadensis L.,gcc-115400,The.plant.list,NA
2654,99985,99985,Leptilon canadensis,4018711,RMS,,05ecc6b9-6c78-4d94-9b79-9e74f7a7ef56,PreservedSpecimen,Septoria erigeronis,Septoria,419997,Species,,On Leptilon canadensis,NA,host: Leptilon canadensis,NA,urn:uuid:05ecc6b9-6c78-4d94-9b79-9e74f7a7ef56,United States,Mycoportal.db,146,Erigeron canadensis L.,gcc-115400,The.plant.list,NA
2655,99986,99986,Leptilon canadensis,4018710,RMS,,0f154f9d-7b4b-4d9d-94ac-77b98ea75a44,PreservedSpecimen,Septoria erigeronis,Septoria,419997,Species,,On Leptilon canadensis,NA,host: Leptilon canadensis,NA,urn:uuid:0f154f9d-7b4b-4d9d-94ac-77b98ea75a44,United States,Mycoportal.db,146,Erigeron canadensis L.,gcc-115400,The.plant.list,NA
3197,75416,75416,Lespedeza dahurica,4364099,UC,,0e383a0a-4683-47e4-841d-f3b2f730f96f,PreservedSpecimen,Uromyces lespedezae-procumbentis,Uromyces,313857,Species,,NA,NA,host: Lespedeza dahurica,NA,urn:uuid:0e383a0a-4683-47e4-841d-f3b2f730f96f,China,Mycoportal.db,326,Lespedeza davurica (Laxm.) Schindl.,ild-38724,The.plant.list,NA
3195,208280.1,208280,Lespedeza stuvei var. intermedia,2716254,ARIZ,,de18e6be-98fd-420b-a45f-a3da347aff06,PreservedSpecimen,Uromyces lespedezae,Uromyces,554113,Species,,NA,NA,on Lespedeza stuvei var. intermedia S. Watson,NA,urn:uuid:de18e6be-98fd-420b-a45f-a3da347aff06,USA,Mycoportal.db,325,Lespedeza intermedia (S.Watson) Britton,ild-10878,The.plant.list,NA
2222,88146,88146,Lithophragma heterophylla,4293443,UC,,abbc3a4b-e09e-4997-8788-2a60da5802d5,PreservedSpecimen,Puccinia heucherae,Puccinia,188305,Species,occasional,in very shady east facing slope beside small creek. Only found in wet seepage banks in leaf mold layer,NA,host: Lithophragma heterophylla,NA,urn:uuid:abbc3a4b-e09e-4997-8788-2a60da5802d5,USA,Mycoportal.db,229,Lithophragma heterophyllum (Hook. & Arn.) Hook. & Arn.,tro-29100416,The.plant.list,NA
