,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
2616,83239,83239,Pinus elliotti,4336349,ARIZ,,d8dcf2ea-6f71-4022-92a4-bb12e8d69d02,PreservedSpecimen,Scytinostroma galactinum,Scytinostroma,189152,Species,,NA,NA,host: Pinus elliottii Engelm.,NA,urn:uuid:d8dcf2ea-6f71-4022-92a4-bb12e8d69d02,United States,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2743,228153,228153,Pinus elliotti,2322087,ARIZ,,b6cb6278-41a6-4ea0-9e13-1f14c8e3da21,PreservedSpecimen,Sistotrema brinkmannii,Sistotrema,189258,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:b6cb6278-41a6-4ea0-9e13-1f14c8e3da21,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2745,220040,220040,Pinus elliotti,2330262,ARIZ,,dd92f70d-ab0a-4bbd-92b5-934c86eeb9fd,PreservedSpecimen,Skeletocutis lilacina,Skeletocutis,422719,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:dd92f70d-ab0a-4bbd-92b5-934c86eeb9fd,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2746,220050,220050,Pinus elliotti,2330252,ARIZ,,a466140e-28f6-4049-918b-6269eac71f40,PreservedSpecimen,Skeletocutis lilacina,Skeletocutis,422719,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:a466140e-28f6-4049-918b-6269eac71f40,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2747,220272,220272,Pinus elliotti,2330030,ARIZ,,ab659c21-d7bc-4e30-b9d1-3d73a7cc0f5e,PreservedSpecimen,Skeletocutis lilacina,Skeletocutis,422719,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:ab659c21-d7bc-4e30-b9d1-3d73a7cc0f5e,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2748,220344,220344,Pinus elliotti,2329958,ARIZ,,cf0d7603-e554-4761-8080-0f1dbb966a80,PreservedSpecimen,Skeletocutis lilacina,Skeletocutis,422719,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:cf0d7603-e554-4761-8080-0f1dbb966a80,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2749,220507,220507,Pinus elliotti,2329795,ARIZ,,66a01976-2508-4f6c-b702-56a5c6aa7048,PreservedSpecimen,Skeletocutis lilacina,Skeletocutis,422719,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:66a01976-2508-4f6c-b702-56a5c6aa7048,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2888,226969,226969,Pinus elliotti,2323284,ARIZ,,a76f921b-fbca-49ae-b823-d3150dcfe4be,PreservedSpecimen,Steccherinum ochraceum,Steccherinum,189457,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:a76f921b-fbca-49ae-b823-d3150dcfe4be,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2895,225913,225913,Pinus elliotti,2324351,ARIZ,,af25d478-c54e-4047-949b-e1804cf0ee05,PreservedSpecimen,Stereum sanguinolentum,Stereum,189499,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:af25d478-c54e-4047-949b-e1804cf0ee05,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2927,220085,220085,Pinus elliotti,2330217,ARIZ,,a4698be4-81ca-41f6-8063-2d3c409cf359,PreservedSpecimen,Tapinella panuoides,Tapinella,189681,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:a4698be4-81ca-41f6-8063-2d3c409cf359,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
