Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
VERRUCARIACEAE,"Involucropyrenium sp.",Breuss,"No change., Molecular: Yes.",124724
VERRUCARIACEAE,"Mastodia sp.","Hook. f. & Harv.","Changed classification (Pérez-Ortega et al. 2010)., Molecular: Yes., source: Pérez-Ortega et al. 2010",66201
VERRUCARIACEAE,"Moriola sp.",Norman,"Changed classification (Grube 2005)., Molecular: No., source: Grube 2005",235638
VERRUCARIACEAE,"Neocatapyrenium sp.","H. Harada","No change., Molecular: Yes.",124755
VERRUCARIACEAE,"Normandina sp.",Nyl.,"Changed classification (Frisch & Ohmura 2015; Muggia et al. 2010)., Molecular: Yes., source: Frisch & Ohmura 2015; Muggia et al. 2010",51815
VERRUCARIACEAE,"Parabagliettoa sp.","Gueidan & Cl. Roux","No change., Molecular: Yes.",256963
VERRUCARIACEAE,"Phylloblastia sp.",Vain.,"No change., Molecular: No.",173065
VERRUCARIACEAE,"Placidiopsis sp.",Beltr.,"No change., Molecular: Yes.",52262
VERRUCARIACEAE,"Placidium sp.","A. Massal.","New synonymy (Breuss 1996), Molecular: Yes., source: Breuss 1996",52269
VERRUCARIACEAE,"Placocarpus sp.",Trevis.,"No change., Molecular: Yes.",127372
VERRUCARIACEAE,"Placopyrenium sp.",Breuss,"No change., Molecular: Yes.",52270
VERRUCARIACEAE,"Placothelium sp.","Müll. Arg.","No change., Molecular: No.",174221
VERRUCARIACEAE,"Polyblastia sp.","A. Massal.","No change., Molecular: Yes.",52263
VERRUCARIACEAE,"Psoroglaena sp.","Müll. Arg.","New synonymy (Lücking 2008)., Molecular: Yes., source: Lücking 2008",52264
VERRUCARIACEAE,"Rhabdopsora sp.","Müll. Arg.","No change., Molecular: No.",178735
VERRUCARIACEAE,"Scleropyrenium sp.","H. Harada","No change., Molecular: No.",262186
VERRUCARIACEAE,"Servitia sp.","M.S. Christ. & Alstrup","No change., Molecular: No.",181029
VERRUCARIACEAE,"Spheconisca sp.","(Norman) Norman","No change., Molecular: No.",183916
VERRUCARIACEAE,"Sporodictyon sp.","A. Massal.","No change., Molecular: Yes.",127591
VERRUCARIACEAE,"Staurothele sp.",Norman,"No change., Molecular: Yes.",52265
VERRUCARIACEAE,"Thelidiopsis sp.",Vain.,"No change., Molecular: No.",186456
VERRUCARIACEAE,"Thelidium sp.","A. Massal.","No change., Molecular: Yes.",52266
VERRUCARIACEAE,"Trimmatothele sp.","Norman ex Zahlbr.","No change., Molecular: Yes.",52267
VERRUCARIACEAE,"Verrucaria sp.",Schrad.,"No change., Molecular: Yes.",52268
VERRUCARIACEAE,"Verruculopsis sp.","Gueidan, Nav.-Ros. & Cl. Roux","Nochange., Molecular: Yes.",192353
VERRUCARIACEAE,"Wahlenbergiella sp.","Gueidan & Thüs","No change., Molecular: Yes.",127398
VERRUCARIACEAE,"Willeya sp.","Müll. Arg.","New or reinstated (Gueidan et al. 2014a; Gueidan & Lendemer 2015)., Molecular: Yes., source: Gueidan et al. 2014a; Gueidan & Lendemer 2015",257496
VERRUCARIALES_FAMILY_INCERTAE_SEDIS,"Botryolepraria sp.","Canals, Hern.-Mar., Gómez-Bolea & Llimona","Changed classification (Kukwa & Pérez-Ortega 2010)., Molecular: Yes., source: Kukwa & Pérez-Ortega 2010",124679
VERRUCARIALES_FAMILY_INCERTAE_SEDIS,"Kalbiana sp.",Henssen,"No change., Molecular: No.",262188
VEZDAEACEAE,"Vezdaea sp.","Tsch.-Woess & Poelt","Changed classification (Jaklitsch et al. 2016a)., Molecular: No., source: Jaklitsch et al. 2016a",52140
XANTHOPYRENIACEAE,"Collemopsidium sp.",Nyl.,"Changed classification (Pérez-Ortega et al. 2016)., Molecular: Yes., source: Pérez-Ortega et al. 2016",51802
XYLOGRAPHACEAE,"Lambiella sp.",Hertel,"New or reinstated (Resl et al. 2015; Spribille et al. 2014)., Molecular: Yes., source: Resl et al. 2015; Spribille et al. 2014",256955
XYLOGRAPHACEAE,"Lithographa sp.",Nyl.,"Changed classification (Resl et al. 2015)., Molecular: Yes., source: Resl et al. 2015",52127
XYLOGRAPHACEAE,"Ptychographa sp.",Nyl.,"Changed classification (Resl et al. 2015)., Molecular: Yes., source: Resl et al. 2015",51920
XYLOGRAPHACEAE,"Xylographa sp.","(Fr.) Fr.","Changed classification (Resl et al. 2015)., Molecular: Yes., source: Resl et al. 2015",51922
ZYTHIACEAE,"Sarea sp.",Fr.,"Changed classification (Hodkinson & Lendemer 2011)., Molecular: Yes., source: Hodkinson & Lendemer 2011",51921
