Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
GRAPHIDACEAE,"Platygramme sp.",Fée,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124774
GRAPHIDACEAE,"Platythecium sp.",Staiger,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124775
GRAPHIDACEAE,"Pliariona sp.","A. Massal.","New or reinstated (Rivas Plata et al. 2013)., Molecular: Yes., source: Rivas Plata et al. 2013",174595
GRAPHIDACEAE,"Polistroma sp.",Clemente,"Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",174605
GRAPHIDACEAE,"Pseudochapsa sp.","Parnmen, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2012)., Molecular: Yes., source: Parnmen et al. 2012",262492
GRAPHIDACEAE,"Pseudoramonia sp.","Kantvilas & Vězda","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",176313
GRAPHIDACEAE,"Pseudotopeliopsis sp.","Parnmen, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2012)., Molecular: Yes., source: Parnmen et al. 2012",262493
GRAPHIDACEAE,"Pycnotrema sp.","Rivas Plata & Lücking","New or reinstated (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",128381
GRAPHIDACEAE,"Redingeria sp.",Frisch,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",178669
GRAPHIDACEAE,"Redonographa sp.","Lücking, Tehler & Lumbsch","New or reinstated (Lücking et al. 2013)., Molecular: Yes., source: Lücking et al. 2013",261754
GRAPHIDACEAE,"Reimnitzia sp.",Kalb,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124782
GRAPHIDACEAE,"Rhabdodiscus sp.",Vain.,"New or reinstated (Rivas Plata et al. 2012b)., Molecular: Yes., source: Rivas Plata et al. 2012b",178734
GRAPHIDACEAE,"Sanguinotrema sp.",Lücking,"New or reinstated (Lücking et al. 2015)., Molecular: Yes., source: Lücking et al. 2015",257371
GRAPHIDACEAE,"Sarcographa sp.",Fée,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51892
GRAPHIDACEAE,"Sarcographina sp.","Müll. Arg.","New or reinstated (Kraichak et al. 2014)., Molecular: Yes., source: Kraichak et al. 2014",180469
GRAPHIDACEAE,"Schistophoron sp.",Stirt.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",180754
GRAPHIDACEAE,"Schizotrema sp.","Mangold & Lumbsch","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",258630
GRAPHIDACEAE,"Stegobolus sp.",Mont.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124797
GRAPHIDACEAE,"Thalloloma sp.",Trevis.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",127122
GRAPHIDACEAE,"Thecaria sp.",Fée,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124804
GRAPHIDACEAE,"Thecographa sp.","A. Massal.","New or reinstated (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",186389
GRAPHIDACEAE,"Thelotrema sp.",Ach.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51899
GRAPHIDACEAE,"Topeliopsis sp.","Kantvilas & Vězda","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124808
GRAPHIDACEAE,"Wirthiotrema sp.","Rivas Plata, Kalb, Frisch & Lumbsch","New or reinstated (Rivas Plata et al. 2010)., Molecular: Yes., source: Rivas Plata et al. 2010",258110
GRAPHIDACEAE,"Xalocoa sp.","Kraichak, Lücking & Lumbsch","New or reinstated (Kraichak et al. 2013)., Molecular: Yes., source: Kraichak et al. 2013",261363
GYALECTACEAE,"Cryptolechia sp.","A. Massal.","No change., Molecular: Yes.",51903
GYALECTACEAE,"Gyalecta sp.",Ach.,"New synonymy (Baloch et al. 2010, 2013)., Molecular: Yes., source: Baloch et al. 2010, 2013",51905
GYALECTACEAE,"Ramonia sp.",Stizenb.,"No change., Molecular: Yes.",51907
GYALECTACEAE,"Semigyalecta sp.",Vain.,"No change., Molecular: No.",181025
GYPSOPLACACEAE,"Gypsoplaca sp.",Timdal,"No change., Molecular: Yes.",51969
HAEMATOMMATACEAE,"Haematomma sp.","A. Massal.","No change., Molecular: Yes.",51970
HARPIDIACEAE,"Euopsis sp.",Nyl.,"No change., Molecular: Yes.",52148
HARPIDIACEAE,"Harpidium sp.",Körb.,"No change., Molecular: Yes.",51806
HELOCARPACEAE,"Helocarpon sp.",Fr.,"Changed classification (Miądlikowska et al. 2014)., Molecular: Yes., source: Miądlikowska et al. 2014",52009
HYGROPHORACEAE,"Acantholichen sp.","P.M. Jørg.","Changed classification (Lawrey et al. 2009; Lodge et al. 2014)., Molecular: Yes., source: Lawrey et al. 2009; Lodge et al. 2014",257560
HYGROPHORACEAE,"Arrhenia sp.",Fr.,"Changed classification (Lawrey et al. 2009; Lodge et al. 2014)., Molecular: Yes., source: Lawrey et al. 2009; Lodge et al. 2014",124672
HYGROPHORACEAE,"Cora sp.",Fr.,"Reinstated genus (Dal Forno et al. 2013; Lawrey et al. 2009; Lodge et al. 2014; Lücking et al. 2016b)., Molecular: Yes., source: Dal Forno et al. 2013; Lawrey et al. 2009; Lodge et al. 2014; Lücking et al. 2016b",63895
HYGROPHORACEAE,"Corella sp.",Vain.,"Reinstated genus (Dal Forno et al. 2013; Lawrey et al. 2009; Lodge et al. 2014)., Molecular: Yes., source: Dal Forno et al. 2013; Lawrey et al. 2009; Lodge et al. 2014",257562
HYGROPHORACEAE,"Cyphellostereum sp.","D.A. Reid","Changed classification (Lawrey et al. 2009; Lodge et al. 2014)., Molecular: Yes., source: Lawrey et al. 2009; Lodge et al. 2014",235349
HYGROPHORACEAE,"Dictyonema sp.","C. Agardh ex Kunth","Changed classification (Lawrey et al. 2009; Lodge et al. 2014)., Molecular: Yes., source: Lawrey et al. 2009; Lodge et al. 2014",52276
HYGROPHORACEAE,"Lichenomphalia sp.","Redhead, Lutzoni, Moncalvo & Vilgalys","Changed classification (Lodge et al. 2014)., Molecular: Yes., source: Lodge et al. 2014",124738
HYGROPHORACEAE,"Semiomphalina sp.",Redhead,"Changed classification (Lodge et al. 2014)., Molecular: Yes., source: Lodge et al. 2014",262075
ICMADOPHILACEAE,"Chirleja sp.","Lendemer & B.P. Hodk.","New or reinstated (Lendemer & Hodkinson 2012a)., Molecular: Yes., source: Lendemer & Hodkinson 2012a",262534
ICMADOPHILACEAE,"Dibaeis sp.",Clem.,"No change., Molecular: Yes.",52142
ICMADOPHILACEAE,"Endocena sp.",Cromb.,"No change., Molecular: Yes.",126282
ICMADOPHILACEAE,"Icmadophila sp.",Trevis.,"No change., Molecular: Yes.",52143
ICMADOPHILACEAE,"Pseudobaeomyces sp.","M. Satì","No change., Molecular: No.",175916
ICMADOPHILACEAE,"Siphula sp.",Fr.,"No change., Molecular: Yes.",101443
ICMADOPHILACEAE,"Siphulella sp.","Kantvilas, Elix & P. James","No change., Molecular: Yes.",258735
ICMADOPHILACEAE,"Thamnolia sp.","Ach. ex Schaerer","No change., Molecular: Yes.",103279
KOERBERIACEAE,"Koerberia sp.","A. Massal.","Changed classification (Spribille & Muggia 2013)., Molecular: Yes., source: Spribille & Muggia 2013",52211
KOERBERIACEAE,"Steinera sp.",Zahlbr.,"Changed classification (Spribille & Muggia 2013)., Molecular: Yes., source: Spribille & Muggia 2013",126194
KOERBERIACEAE,"Vestergrenopsis sp.",Gyeln.,"Changed classification (Spribille & Muggia 2013)., Molecular: Yes., source: Spribille & Muggia 2013",52215
LECANOGRAPHACEAE,"Alyxoria sp.",Ach.,"New or reinstated (Ertz & Tehler 2011; Diederich et al. 2012)., Molecular: Yes., source: Ertz & Tehler 2011; Diederich et al. 2012",128285
LECANOGRAPHACEAE,"Heterocyphelium sp.",Vain.,"Changed classification (this paper)., Molecular: Yes., Notes. This genus has recently been sequenced and a paper on its revised classification is forthcoming (van den Broeck et al., in prep.)., source: van den Broeck et al., in prep.",86646
LECANOGRAPHACEAE,"Lecanographa sp.","Egea & Torrente","Changed classification (Ertz & Tehler 2011)., Molecular: Yes., source: Ertz & Tehler 2011",52179
LECANOGRAPHACEAE,"Plectocarpon sp.",Fée,"Changed classification (Ertz & Tehler 2011)., Molecular: Yes., source: Ertz & Tehler 2011",52184
LECANOGRAPHACEAE,"Zwackhia sp.",Körb.,"New or reinstated (Diederich et al. 2012; Ertz & Tehler 2011)., Molecular: Yes., source: Diederich et al. 2012; Ertz & Tehler 2011",128361
LECANORACEAE,"Ameliella sp.","Fryday & Coppins","New or reinstated (Fryday & Coppins 2008)., Molecular: No., source: Fryday & Coppins 2008",256927
LECANORACEAE,"Bryodina sp.",Hafellner,"No change., Molecular: No.",135782
LECANORACEAE,"Bryonora sp.",Poelt,"No change., Molecular: Yes.",51983
LECANORACEAE,"Cladidium sp.",Hafellner,"No change., Molecular: No.",51985
LECANORACEAE,"Claurouxia sp.","D. Hawksw.","No change., Molecular: No.",127130
LECANORACEAE,"Clauzadeana sp.","Cl. Roux","No change., Molecular: No.",51986
LECANORACEAE,"Edrudia sp.","W.P. Jordan","No change., Molecular: No.",51987
LECANORACEAE,"Japewiella sp.",Printzen,"No change., Molecular: No.",52001
LECANORACEAE,"Lecanora sp.",Ach.,"No change., Molecular: Yes.",51988
LECANORACEAE,"Lecidella sp.",Körb.,"No change., Molecular: Yes.",51989
LECANORACEAE,"Miriquidica sp.","Hertel & Rambold","No change., Molecular: Yes.",51991
LECANORACEAE,"Myriolecis sp.",Clements,"New or reinstated and new synonymy (Śliwa et al. 2012; Zhao et al. 2016)., Molecular: Yes., source: Śliwa et al. 2012; Zhao et al. 2016",162994
LECANORACEAE,"Myrionora sp.","R.C. Harris","No change., Molecular: No.",51992
LECANORACEAE,"Palicella sp.","Rodr. Flakus & Printzen","New or reinstated (Rodriguez-Flakus & Printzen 2014)., Molecular: Yes., source: Rodriguez-Flakus & Printzen 2014",256962
LECANORACEAE,"Protoparmeliopsis sp.","M. Choisy","New or reinstated (Zhao et al. 2016)., Molecular: Yes., source: Zhao et al. 2016",67671
LECANORACEAE,"Psorinia sp.","Gotth. Schneid.","No change., Molecular: No.",51996
LECANORACEAE,"Punctonora sp.",Aptroot,"No change., Molecular: No.",262358
LECANORACEAE,"Pyrrhospora sp.",Körb.,"No change., Molecular: Yes.",51997
LECANORACEAE,"Rhizoplaca sp.",Zopf,"New or reinstated (Zhao et al. 2016)., Molecular: Yes., source: Zhao et al. 2016",51998
LECANORACEAE,"Sagema sp.","Poelt & Grube","No change., Molecular: No.",262359
LECANORACEAE,"Sedelnikovaea sp.","S.Y. Kondr., M.H. Jeong & Hur","New or reinstated (Kondratyuk et al. 2014e)., Molecular: Yes., source: Kondratyuk et al. 2014e",262360
LECANORACEAE,"Traponora sp.",Aptroot,"No change., Molecular: No.",262349
LECANORACEAE,"Vainionora sp.",Kalb,"No change., Molecular: No.",124813
LECANORALES_FAMILY_INCERTAE_SEDIS,"Coronoplectrum sp.",Brusse,"Changed classification (Thell et al. 2012)., Molecular: No., source: Thell et al. 2012",257854
LECANORALES_FAMILY_INCERTAE_SEDIS,"Ivanpisutia sp.","S.Y. Kondr., L. Lőkös & Hur","New or reinstated (Kondratyuk et al. 2015a)., Molecular: No., source: Kondratyuk et al. 2015a",262387
LECANORALES_FAMILY_INCERTAE_SEDIS,"Joergensenia sp.","Passo, Stenroos & Calvelo","No change., Molecular: Yes.",262401
LECANORALES_FAMILY_INCERTAE_SEDIS,"Myochroidea sp.","Printzen, T. Sprib. & Tønsberg","Nochange., Molecular: No.",127365
LECANORALES_FAMILY_INCERTAE_SEDIS,"Neopsoromopsis sp.",Gyeln.,"Changed classification (Thell et al. 2012)., Molecular: No., source: Thell et al. 2012",164238
LECANORALES_FAMILY_INCERTAE_SEDIS,"Psoromella sp.",Gyeln.,"Changed classification (Thell et al. 2012)., Molecular: No., source: Thell et al. 2012",176700
LECANORALES_FAMILY_INCERTAE_SEDIS,"Puttea sp.","S. Stenroos & Huhtinen","No change., Molecular: Yes.",127601
LECANORALES_FAMILY_INCERTAE_SEDIS,"Ramalea sp.",Nyl.,"No change., Molecular: Yes.",177850
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Argopsis sp.","Th. Fr.","Changed classification (this paper)., Molecular: No., Notes. Argopsis was long placed with question mark in Brigantiaeaceae, based on Hafellner (1984), but in our view is unrelated to that genus and its placement must be considered unresolved., source: Hafellner 1984",126272
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Bartlettiella sp.","D.J. Galloway & P.M. Jørg.","No change., Molecular: No.",126274
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Bouvetiella sp.",Øvstedal,"No change., Molecular: No.",262589
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Buelliastrum sp.",Zahlbr.,"No change., Molecular: No.",137083
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Haploloma sp.",Trevis.,"No change., Molecular: No.",262590
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Maronella sp.","M. Steiger","No change., Molecular: No.",160751
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Notolecidea sp.",Hertel,"No change., Molecular: Yes.",126291
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Petractis sp.",Fr.,"Changed classification (this paper)., Molecular: Yes., Notes. The genus was listed in Stictidaceae (Lumbsch & Huhndorf 2010) but suggested to form part of Phlyctidaceae by Miądlikowska et al. (2014). However, the two available sequences give conflicting results, with no close relative within the Lecanoromycetes. This taxon was therefore reclassified and needs further study., source: Lumbsch & Huhndorf 2010; Miądlikowska et al. 2014",52197
LECANOROMYCETES_FAMILY_INCERTAE_SEDIS,"Piccolia sp.","A. Massal.","No change., Molecular: No.",51942
LECIDEACEAE,"Amygdalaria sp.",Norman,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52105
LECIDEACEAE,"Bahianora sp.",Kalb,"Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",262388
LECIDEACEAE,"Bellemerea sp.","Hafellner & Cl. Roux","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52107
LECIDEACEAE,"Bryobilimbia sp.","Fryday, Printzen & S. Ekman","New or reinstated (Fryday et al. 2014)., Molecular: Yes., source: Fryday et al. 2014",256937
LECIDEACEAE,"Catarrhospora sp.",Brusse,"Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",262389
LECIDEACEAE,"Cecidonia sp.","Treibel & Rambold","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52002
LECIDEACEAE,"Clauzadea sp.","Hafellner & Bellem.","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52108
LECIDEACEAE,"Cryptodictyon sp.","A. Massal.","Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",262390
LECIDEACEAE,"Eremastrella sp.","S. Vogel","No change., Molecular: Yes.",145879
LECIDEACEAE,"Farnoldia sp.",Hertel,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52109
LECIDEACEAE,"Immersaria sp.","Rambold & Pietschm.","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52110
LECIDEACEAE,"Koerberiella sp.",Stein,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52111
LECIDEACEAE,"Labyrintha sp.","Malcolm, Elix & Owe-Larss.","Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",126287
LECIDEACEAE,"Lecidea sp.",Ach.,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52005
LECIDEACEAE,"Lecidoma sp.","Gotth. Schneid. & Hertel","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52114
LECIDEACEAE,"Melanolecia sp.",Hertel,"Changed classification (Buschbom & Müller 2004)., Molecular: Yes., Notes. Published phylogenies are inconclusive about the position of this genus, but revision of sequence data suggest placement in Lecideaceae., source: Buschbom & Müller 2004",51979
LECIDEACEAE,"Mycobilimbia sp.",Rehm,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52112
LECIDEACEAE,"Pachyphysis sp.","R.C. Harris & Ladd","Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",124763
LECIDEACEAE,"Paraporpidia sp.","Rambold & Pietschm.","Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",126294
LECIDEACEAE,"Poeltiaria sp.",Hertel,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",126298
LECIDEACEAE,"Poeltidea sp.","Hertel & Hafellner","Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",126299
LECIDEACEAE,"Porpidia sp.",Körb.,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",52113
LECIDEACEAE,"Pseudopannaria sp.","(B. de Lesd.) Zahlbr.","Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",176132
LECIDEACEAE,"Rhizolecia sp.",Hertel,"No change., Molecular: No.",179287
LECIDEACEAE,"Romjularia sp.",Timdal,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",127062
LECIDEACEAE,"Schizodiscus sp.",Brusse,"Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",257976
LECIDEACEAE,"Stenhammarella sp.",Hertel,"Changed classification (Buschbom & Müller 2004)., Molecular: Yes., Notes. Published phylogenies are inconclusive about the position of this genus, but revision of sequence data suggest placement in Lecideaceae., source: Buschbom & Müller 2004",184340
LECIDEACEAE,"Stephanocyclos sp.",Hertel,"Changed classification (Schmull et al. 2011)., Molecular: Yes., source: Schmull et al. 2011",126305
LECIDEACEAE,"Xenolecia sp.",Hertel,"Changed classification (Schmull et al. 2011)., Molecular: No., source: Schmull et al. 2011",193373
LEPIDOSTROMATACEAE,"Ertzia sp.","B.P. Hodk. & Lücking","New or reinstated (Hodkinson et al. 2014)., Molecular: Yes., source: Hodkinson et al. 2014",262078
LEPIDOSTROMATACEAE,"Lepidostroma sp.","Mägd. & S. Winkl.","Changed classification (Ertz et al. 2008; Hodkinson et al. 2014)., Molecular: Yes., source: Ertz et al. 2008; Hodkinson et al. 2014",235559
LEPIDOSTROMATACEAE,"Sulzbacheromyces sp.","B.P. Hodk. & Lücking","New or reinstated (Hodkinson et al. 2014)., Molecular: Yes., source: Hodkinson et al. 2014",262081
LEPROCAULACEAE,"Halecania sp.","M. Mayrhofer","Changed classification (Lendemer & Hodkinson 2013)., Molecular: Yes., source: Lendemer & Hodkinson 2013",51949
LEPROCAULACEAE,"Leprocaulon sp.",Nyl.,"Changed classification and new synonymy (Lendemer & Hodkinson 2013; this paper)., Molecular: Yes., Notes. Byssocaulon was listed under Chrysotrichaceae (Lumbsch & Huhndorf 2010), but the type appears to be congeneric with Leprocaulon., source: Lumbsch & Huhndorf2010",51800
LEPROCAULACEAE,"Speerschneidera sp.",Trevis.,"Changed classification (Lendemer & Hodkinson 2013)., Molecular: Yes., source: Lendemer & Hodkinson 2013",51937
LETROUITIACEAE,"Letrouitia sp.","Hafellner & Bellem.","No change. Suborder Teloschistineae Gaya & Lutzoni, Molecular: Yes.",52007
LICHINACEAE,"Anema sp.",Nyl.,"No change., Molecular: Yes.",52145
LICHINACEAE,"Calotrichopsis sp.",Vain.,"No change., Molecular: No.",138983
LICHINACEAE,"Corynecystis sp.",Brusse,"New or reinstated (Tehler & Wedin2008)., Molecular: No., source: Tehler & Wedin2008",143712
LICHINACEAE,"Cryptothele sp.","Th. Fr.","No change., Molecular: No.",52146
LICHINACEAE,"Digitothyrea sp.","P. Moreno & Egea","No change., Molecular: Yes.",51804
LICHINACEAE,"Edwardiella sp.",Henssen,"No change., Molecular: No.",126280
LICHINACEAE,"Ephebe sp.",Fr.,"No change., Molecular: Yes.",52147
LICHINACEAE,"Finkia sp.",Vain.,"No change., Molecular: No.",146209
LICHINACEAE,"Gyrocollema sp.",Vain.,"No change., Molecular: No.",148900
LICHINACEAE,"Heppia sp.",Nägeli,"Changed classification (Schultz & Büdel 2003)., Molecular: Yes., source: Schultz & Büdel 2003",51972
LICHINACEAE,"Jenmania sp.","W. Wächt.","No change., Molecular: Yes.",150244
LICHINACEAE,"Lecidopyrenopsis sp.",Vain.,"No change., Molecular: No.",159078
LICHINACEAE,"Lemmopsis sp.","(Vain.) Zahlbr.","No change., Molecular: No.",52166
LICHINACEAE,"Lempholemma sp.",Körb.,"No change., Molecular: Yes.",52149
LICHINACEAE,"Leprocollema sp.",Vain.,"No change. Subphylum Pezizomycotina orders incertae sedis, Molecular: No.",126011
LICHINACEAE,"Lichina sp.","C. Agardh","No change., Molecular: Yes.",52150
LICHINACEAE,"Lichinella sp.",Nyl.,"New synonymy (Moreno & Egea 1992)., Molecular: Yes., source: Moreno & Egea 1992",52151
LICHINACEAE,"Lichinodium sp.",Nyl.,"No change., Molecular: No.",52152
LICHINACEAE,"Mawsonia sp.","C.W. Dodge","No change., Molecular: No.",160779
LICHINACEAE,"Metamelanea sp.",Henssen,"No change., Molecular: No.",124749
LICHINACEAE,"Paulia sp.",Fée,"No change., Molecular: Yes.",52154
LICHINACEAE,"Peccania sp.","A. Massal. ex Arnold","No change., Molecular: Yes.",52155
LICHINACEAE,"Phloeopeccania sp.","J. Steiner","No change., Molecular: Yes.",124770
LICHINACEAE,"Phylliscidiopsis sp.",Sambo,"No change., Molecular: No.",173050
LICHINACEAE,"Phylliscidium sp.",Forssell,"No change., Molecular: No.",173051
LICHINACEAE,"Phyllisciella sp.","Henssen & Büdel","No change., Molecular: No.",126296
LICHINACEAE,"Phylliscum sp.",Nyl.,"No change., Molecular: Yes.",52156
LICHINACEAE,"Porocyphus sp.",Körb.,"No change., Molecular: Yes.",52157
LICHINACEAE,"Pseudarctomia sp.",Gyeln.,"No change., Molecular: No.",175893
LICHINACEAE,"Pseudoheppia sp.",Zahlbr.,"Changed classification (Schultz & Büdel 2003)., Molecular: No., source: Schultz & Büdel 2003",176127
LICHINACEAE,"Pseudopaulia sp.","M. Schultz","No change., Molecular: No.",262094
LICHINACEAE,"Psorotichia sp.","A. Massal.","No change., Molecular: Yes.",52158
LICHINACEAE,"Pterygiopsis sp.",Vain.,"No change., Molecular: Yes.",52159
LICHINACEAE,"Pyrenocarpon sp.",Trevis.,"No change., Molecular: No.",128190
LICHINACEAE,"Pyrenopsis sp.",Nyl.,"No change., Molecular: Yes.",52160
LICHINACEAE,"Solorinaria sp.","(Vain.) Gyeln.","Changed classification (Schultz & Büdel 2003)., Molecular: No., source: Schultz & Büdel 2003",68502
LICHINACEAE,"Stromatella sp.",Henssen,"No change., Molecular: Yes.",51813
LICHINACEAE,"Synalissa sp.",Fr.,"No change., Molecular: No.",52161
LICHINACEAE,"Thallinocarpon sp.","E. Dahl","New or reinstated (Jørgensen 2007)., Molecular: No., source: Jørgensen 2007",186311
LICHINACEAE,"Thelignya sp.","A. Massal.","No change., Molecular: No.",52162
LICHINACEAE,"Thermutis sp.",Fr.,"No change., Molecular: No.",52163
LICHINACEAE,"Thermutopsis sp.",Henssen,"No change., Molecular: No.",262097
LICHINACEAE,"Thyrea sp.","A. Massal.","No change., Molecular: Yes.",52164
LICHINACEAE,"Zahlbrucknerella sp.",Herre,"No change., Molecular: No.",52165
LOPADIACEAE,"Lopadium sp.","Körb. nom. cons.","Changed classification (Ekman et al. 2008)., Molecular: Yes., source: Ekman et al. 2008",51965
LYROMMATACEAE,"Lyromma sp.","Bat. & H. Maia","Changed classification (Jaklitsch et al. 2016a)., Molecular: No., source: Jaklitsch et al. 2016a",160705
MALMIDEACEAE,"Malmidea sp.","Kalb, Rivas Plata & Lumbsch","New or reinstated (Kalb et al. 2011)., Molecular: Yes., source: Kalb et al. 2011",127531
MALMIDEACEAE,"Savoronala sp.","Ertz, Eb. Fisch., Killmann, Razafindr. & Sérus.","New or reinstated (Ertz et al. 2014c)., Molecular: Yes., source: Ertz et al. 2014c",262361
MASSALONGIACEAE,"Leptochidium sp.","M. Choisy","Changed classification (Wedin et al. 2007)., Molecular: Yes., source: Wedin et al. 2007",52212
MASSALONGIACEAE,"Massalongia sp.",Körb.,"Changed classification (Wedin et al. 2007)., Molecular: Yes., source: Wedin et al. 2007",52208
MASSALONGIACEAE,"Polychidium sp.","(Ach.) Gray","Changed classification (Wedin et al. 2007)., Molecular: Yes., source: Wedin et al. 2007",52214
MEGALOSPORACEAE,"Megaloblastenia sp.",Sipman,"No change., Molecular: Yes.",160841
MEGALOSPORACEAE,"Megalospora sp.",Meyen,"New synonymy (Kantvilas & Lumbsch 2012)., Molecular: Yes., source: Kantvilas & Lumbsch 2012",52008
MEGALOSPORACEAE,"Sipmaniella sp.",Kalb,"Changed classification (Gaya et al. 2012). 391, Molecular: Yes., source: Gaya et al. 2012",262405
MEGASPORACEAE,"Aspicilia sp.","A. Massal.","No change., Molecular: Yes.",51974
MEGASPORACEAE,"Circinaria sp.","Link nom. rejic.","New or reinstated (Nordin et al. 2010;Sohrabi et al. 2013a)., Molecular: Yes., source: Nordin et al. 2010;Sohrabi et al. 2013a",127361
MEGASPORACEAE,"Lobothallia sp.","(Clauzade & Cl. Roux) Hafellner","Nochange., Molecular: Yes.",51977
MEGASPORACEAE,"Megaspora sp.","(Clauzade & Cl. Roux) Hafellner & V. Wirth","No change., Molecular: Yes.",51978
MEGASPORACEAE,"Sagedia sp.","Ach. nom. rejic.","New or reinstated (Nordin et al. 2010)., Molecular: Yes., source: Nordin et al. 2010",127412
MEGASPORACEAE,"Teuvoa sp.","Sohrabi & S. Leavitt","New or reinstated (Sohrabi et al. 2013b)., Molecular: Yes., source: Sohrabi et al. 2013b",256974
MELASPILEACEAE,"Encephalographa sp.","A. Massal.","Changed classification (Ertz& Diederich 2015)., Molecular: Yes., source: Ertz& Diederich 2015",126281
MELASPILEACEAE,"Melaspilea sp.",Nyl.,"Changed classification (Ertz & Diederich 2015)., Molecular: Yes., source: Ertz & Diederich 2015",51819
MICROTHELIOPSIDACEAE,"Microtheliopsis sp.","Müll. Arg.","Changed classification (Jaklitsch et al. 2016a)., Molecular: No., source: Jaklitsch et al. 2016a",235626
MILTIDEACEAE,"Miltidea sp.",Stirt.,"Changed classification (Widhelm & Lumbsch 2011)., Molecular: Yes., source: Widhelm & Lumbsch 2011",126289
MONOBLASTIACEAE,"Acrocordia sp.","A. Massal.","Changed classification (Nelsen et al. 2009, 2011)., Molecular: Yes., source: Nelsen et al. 2009, 2011",51865
MONOBLASTIACEAE,"Anisomeridium sp.","(Müll. Arg.) Choisy","Changed classification (Nelsen et al. 2009, 2011)., Molecular: Yes., source: Nelsen et al. 2009, 2011",51866
MONOBLASTIACEAE,"Caprettia sp.","Bat. & H. Maia","Changed classification (Nelsen et al. 2009, 2011)., Molecular: No., source: Nelsen et al. 2009, 2011",139242
